Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
1 6 8,0.0835905,9.61111,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A
1 6 8 12,0.00696588,21,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,12
6 8,0.0385802,11.6389,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,N/A
1 6 8 11,0.0171468,18.8611,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,1 11
6 8 12,0.00321502,23.0833,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,N/A,12
1 6 8 11 12,0.00172659,30.4444,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,12
1 6 8 10,0.0273277,16.6667,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,N/A
1 6 8 10 12,0.00303641,27.9722,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,12
6 8 11,0.00643004,21.7222,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,11,N/A
6 8 11 12,0.000714449,33,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,N/A,11,12
6 8 10,0.00964506,20.2778,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,10,N/A,N/A
1 6 8 10 11,0.00643004,26.1667,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,1 11
6 8 10 12,0.00107167,31.6944,N/A,N/A,N/A,N/A,N/A,6,N/A,8,N/A,10,N/A,12
1 6 8 10 11 12,0.000818639,37.8333,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,12
6 9 10 11,0.00171468,31.4167,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,11,N/A
6 9 10 11 12,0.00023815,42.6389,N/A,N/A,N/A,N/A,N/A,6,N/A,N/A,9,10,11,12
1 6 8 9,0.0323645,16.3889,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A
1 6 8 9 12,0.00359606,27.3889,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,12
6 8 9,0.0128601,18.8889,N/A,N/A,N/A,N/A,N/A,6,N/A,8,9,N/A,N/A,N/A
1 6 8 9 11,0.00862102,24.8333,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,11,1 11
